 15-1-2024, 21:02:27 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:02:28 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBH00f4IW40HyjkEUYkB8BkBjd7uE2ySxNaLyuS2NwEK7hxDcZsJZSOwIFAe3Qs0g&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:02:29 GMT+0530    |   GET /favicon.ico
 15-1-2024, 21:03:44 GMT+0530    |   GET /api/v1/groceries
 15-1-2024, 21:03:56 GMT+0530    |   GET /api/v1/groceries
 15-1-2024, 21:04:23 GMT+0530    |   GET /api/v1/groceries
 15-1-2024, 21:06:28 GMT+0530    |   GET /favicon.ico
 15-1-2024, 21:06:32 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:06:37 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=bV6Xy29gTYHTpHzbtZGYTuwPs4slA2
 15-1-2024, 21:06:40 GMT+0530    |   GET /favicon.ico
 15-1-2024, 21:06:59 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:07:04 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=5GxpTMM6ZRKrSgJV7AqwOnjMPhEQWJ
 15-1-2024, 21:07:06 GMT+0530    |   GET /favicon.ico
 15-1-2024, 21:13:05 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:13:11 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=F498ZND5cnNucboFmm7h6eIZHXXAuk
 15-1-2024, 21:13:31 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:13:37 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=OLGvIro2waf6LIw7TnPD9nSiaBD2J6
 15-1-2024, 21:14:45 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:14:50 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=e8QsoZf6Cqg9hreD1oDEAN7rLPID6t
 15-1-2024, 21:16:13 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:16:18 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=V3jUlJBXiWRlPUwEfb6GkRFKePB1RI
 15-1-2024, 21:16:20 GMT+0530    |   GET /favicon.ico
 15-1-2024, 21:17:02 GMT+0530    |   GET /api/v1/auth/discord
 15-1-2024, 21:17:07 GMT+0530    |   GET /api/v1/auth/discord/redirect?code=YMXKolSuq5R7w7r9PPKuj8YxrXdlJ6
 15-1-2024, 21:17:45 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:17:45 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHAIQdQ3f3bLBDYO1yefIcDrMnbj5cEndGXKkNsDemPwSYQ4pfRIiYCeOY9THCxeOw&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:18:01 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:18:01 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHB5jAuOuOtrF31nZkHC-_Kde_NnSEt9pRPUWly1vErHhN5xj6U_SGKE3LWO1zthhg&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:24:14 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:24:15 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHDdIE_i-Vrl2zubbWwilvfnWzlqBDEx9Qs7HLJ2oJdagSpX0UgT41OiI4d9Lq9gTw&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:28:16 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:28:17 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHAP4JaUioqwaaY_Cvm-fRJ5O8IkIPh184nf7k-GBfH9-pm_tPO6WTJIFQi3pH8uIg&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:30:25 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:30:25 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHDLkpWeIgl-DBdIhSDnSqmqmUEB4Jw4YwiCQQt7M3qMRbMSLKJNe-7ALNMnkUMUuw&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:30:44 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:30:45 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHDQI8rfA6lumCLkv3ew09fEmsZWDItG_aZSSGnSPnzhOmUhkRyTHqVwJI60TR9VFQ&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:35:08 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:35:09 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBJd8zdFvB2gk4l0MpBonmNHJVq16kb3JqyoIgoJyqrIbJgT4-ZAJepOH3ojUncDQ&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:36:01 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:36:02 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBSYn7qagEHxoW1zibQ_em2RfaQIdR9kMw5wcAqYj34avwRZL2q21zgey5bHQ3KVw&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:36:36 GMT+0530    |   GET /api/v1/auth/googl
 15-1-2024, 21:36:40 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:36:41 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHAG7qY1wXF1h1dt5c0LYKPnYANnJPOMbVN6X8mtPH4ilh9hxAOB7AjlmU8b4oQe0w&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:37:24 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:37:25 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHBBxvqLnV87INXmbw6Dm3_EtMwZSv_z8f0CLKuE2i-5MwhTUtTGKuxYbVH5WEKZFA&scope=email+openid+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email&authuser=0&prompt=none
 15-1-2024, 21:38:14 GMT+0530    |   GET /api/v1/auth/google
 15-1-2024, 21:38:15 GMT+0530    |   GET /api/v1/auth/google/redirect?code=4%2F0AeaYSHC6RA3R0aPpIAte7BZQV3BD21UWMi0Nmb_ig6wcJraoTGVR_Ap-JwXvnd-nAJm4XA&scope=email+https%3A%2F%2Fwww.googleapis.com%2Fauth%2Fuserinfo.email+openid&authuser=0&prompt=none
 15-1-2024, 21:38:40 GMT+0530    |   GET /api/v1/auth/google
